City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
273,hamilton,39.1834,-84.5333,24.87,85,0,3.6,US,1689601371
274,pathein,16.7833,94.7333,26.07,87,26,5.28,MM,1689601421
275,al fuwayliq,26.4432,43.2534,43.91,5,20,5.95,SA,1689601421
276,chonchi,-42.6128,-73.8092,-1.44,77,64,0.42,CL,1689601422
277,bonthe,7.5264,-12.505,26.99,79,100,4.51,SL,1689601422
278,neftekumsk,44.6667,44.9167,26.67,33,49,7.58,RU,1689601422
279,portales,34.1862,-103.3344,25.74,32,0,5.61,US,1689601422
280,usinsk,65.9939,57.5281,21.18,52,54,3.66,RU,1689601422
281,kudahuvadhoo,2.6708,72.8944,28.73,75,35,4.92,MV,1689601422
282,lompoc,34.6391,-120.4579,16.08,97,75,0.0,US,1689601422
283,caluula,11.9661,50.7569,29.64,67,49,3.75,SO,1689601422
284,santana,-0.0583,-51.1817,29.1,79,40,3.6,BR,1689601423
285,huinan,42.6225,126.2614,18.29,94,10,1.74,CN,1689601423
286,mount isa,-20.7333,139.5,18.87,48,41,3.6,AU,1689601423
287,saint-joseph,-21.3667,55.6167,23.59,82,27,5.46,RE,1689601423
288,nemuro,43.3236,145.575,14.34,95,100,2.88,JP,1689601423
289,lerwick,60.1545,-1.1494,13.0,77,90,7.99,GB,1689601423
290,yunyang,33.4474,112.7142,25.6,63,11,0.43,CN,1689601424
291,rosarito,32.3333,-117.0333,19.71,82,59,2.01,MX,1689601424
292,saint-philippe,-21.3585,55.7679,23.77,85,42,5.78,RE,1689601424
293,vorgashor,67.5833,63.95,16.89,71,28,4.96,RU,1689601424
294,kotabumi,-4.8333,104.9,23.79,93,23,1.84,ID,1689601424
295,jalapa,19.5333,-96.9167,19.37,77,98,0.74,MX,1689601424
296,bocaiuva,-17.1078,-43.815,24.84,35,1,1.64,BR,1689601424
297,prince rupert,54.3161,-130.3201,14.83,94,100,2.57,CA,1689601425
298,arvayheer,46.2639,102.775,15.12,70,33,2.68,MN,1689601425
299,torghay,49.6339,63.4981,26.82,34,100,7.19,KZ,1689601425
300,roma,43.2128,-75.4557,25.77,73,75,2.06,US,1689601425
